date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:50:18	863110/863110	---M--	200	added ('OK')	image/jpeg	etag:%2273cda7367a4f3ee1a5d598dad82ff43b%22	https://mimmostore.org/__l5e/assets-v1/c162f712-9543-4ea3-ab6b-955648d11aef/promo-estate.jpg	/data/data/com.termux/files/home/mimmostore_full/mimmostore.org/__l5e/assets-v1/c162f712-9543-4ea3-ab6b-955648d11aef/promo-estate.jpg	(from https://mimmostore.org/)
19:50:22	274860/274860	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Aug%202026%2017:50:23%20GMT	https://mimmostore.org/categoria/82142254	/data/data/com.termux/files/home/mimmostore_full/mimmostore.org/categoria/82142254.html	(from https://mimmostore.org/)
19:50:28	264164/264164	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Aug%202026%2017:50:28%20GMT	https://mimmostore.org/categoria/92881556	/data/data/com.termux/files/home/mimmostore_full/mimmostore.org/categoria/92881556.html	(from https://mimmostore.org/)
19:50:33	263067/263067	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Aug%202026%2017:50:33%20GMT	https://mimmostore.org/categoria/82142268	/data/data/com.termux/files/home/mimmostore_full/mimmostore.org/categoria/82142268.html	(from https://mimmostore.org/)
19:50:38	264797/264797	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Aug%202026%2017:50:38%20GMT	https://mimmostore.org/categoria/82142549	/data/data/com.termux/files/home/mimmostore_full/mimmostore.org/categoria/82142549.html	(from https://mimmostore.org/)
19:50:44	260435/260435	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Aug%202026%2017:50:44%20GMT	https://mimmostore.org/categoria/82142511	/data/data/com.termux/files/home/mimmostore_full/mimmostore.org/categoria/82142511.html	(from https://mimmostore.org/)
19:50:50	255560/255560	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Aug%202026%2017:50:50%20GMT	https://mimmostore.org/categoria/82142418	/data/data/com.termux/files/home/mimmostore_full/mimmostore.org/categoria/82142418.html	(from https://mimmostore.org/)
19:50:55	267359/267359	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Aug%202026%2017:50:55%20GMT	https://mimmostore.org/categoria/82142576	/data/data/com.termux/files/home/mimmostore_full/mimmostore.org/categoria/82142576.html	(from https://mimmostore.org/)
19:51:02	200487/200487	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Aug%202026%2017:51:02%20GMT	https://mimmostore.org/categoria/94076786	/data/data/com.termux/files/home/mimmostore_full/mimmostore.org/categoria/94076786.html	(from https://mimmostore.org/)
19:51:08	259882/259882	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Aug%202026%2017:51:08%20GMT	https://mimmostore.org/categoria/82142614	/data/data/com.termux/files/home/mimmostore_full/mimmostore.org/categoria/82142614.html	(from https://mimmostore.org/)
